symbol,arm64_file,arm64_line,commit_hash,commit_title,commit_url,patch_url,trace_status
ARM64_ERRATUM_2067961,arch/arm64/Kconfig,925,fa82d0b4b833790ac4572377fb777dcea24a9d69,arm64: errata: Add workaround for TSB flush failures,https://git.kernel.org/torvalds/c/fa82d0b4b833790ac4572377fb777dcea24a9d69,https://git.kernel.org/torvalds/c/fa82d0b4b833790ac4572377fb777dcea24a9d69.patch,ok
ARM64_ERRATUM_2077057,arch/arm64/Kconfig,841,1dd498e5e26ad71e3e9130daf72cfb6a693fee03,KVM: arm64: Workaround Cortex-A510's single-step and PAC trap errata,https://git.kernel.org/torvalds/c/1dd498e5e26ad71e3e9130daf72cfb6a693fee03,https://git.kernel.org/torvalds/c/1dd498e5e26ad71e3e9130daf72cfb6a693fee03.patch,ok
ARM64_ERRATUM_2119858,arch/arm64/Kconfig,871,b9d216fcef4298de76519e2baeed69ba482467bd,arm64: errata: Add detection for TRBE overwrite in FILL mode,https://git.kernel.org/torvalds/c/b9d216fcef4298de76519e2baeed69ba482467bd,https://git.kernel.org/torvalds/c/b9d216fcef4298de76519e2baeed69ba482467bd.patch,ok
ARM64_ERRATUM_2139208,arch/arm64/Kconfig,889,b9d216fcef4298de76519e2baeed69ba482467bd,arm64: errata: Add detection for TRBE overwrite in FILL mode,https://git.kernel.org/torvalds/c/b9d216fcef4298de76519e2baeed69ba482467bd,https://git.kernel.org/torvalds/c/b9d216fcef4298de76519e2baeed69ba482467bd.patch,ok
ARM64_ERRATUM_2224489,arch/arm64/Kconfig,961,8d81b2a38ddfc4b03662d2359765648c8b4cc73c,arm64: errata: Add detection for TRBE write to out-of-range,https://git.kernel.org/torvalds/c/8d81b2a38ddfc4b03662d2359765648c8b4cc73c,https://git.kernel.org/torvalds/c/8d81b2a38ddfc4b03662d2359765648c8b4cc73c.patch,ok
ARM64_ERRATUM_2253138,arch/arm64/Kconfig,943,8d81b2a38ddfc4b03662d2359765648c8b4cc73c,arm64: errata: Add detection for TRBE write to out-of-range,https://git.kernel.org/torvalds/c/8d81b2a38ddfc4b03662d2359765648c8b4cc73c,https://git.kernel.org/torvalds/c/8d81b2a38ddfc4b03662d2359765648c8b4cc73c.patch,ok
ARM64_ERRATUM_2441007,arch/arm64/Kconfig,741,171df58028bf4649460fb146a56a58dcb0c8f75a,arm64: errata: Add Cortex-A55 to the repeat tlbi list,https://git.kernel.org/torvalds/c/171df58028bf4649460fb146a56a58dcb0c8f75a,https://git.kernel.org/torvalds/c/171df58028bf4649460fb146a56a58dcb0c8f75a.patch,ok
ARM64_ERRATUM_2441009,arch/arm64/Kconfig,979,39fdb65f52e9a53d32a6ba719f96669fd300ae78,arm64: errata: Add Cortex-A510 to the repeat tlbi list,https://git.kernel.org/torvalds/c/39fdb65f52e9a53d32a6ba719f96669fd300ae78,https://git.kernel.org/torvalds/c/39fdb65f52e9a53d32a6ba719f96669fd300ae78.patch,ok
ARM64_ERRATUM_2457168,arch/arm64/Kconfig,1054,e89d120c4b720e232cc6a94f0fcbd59c15d41489,arm64: errata: add detection for AMEVCNTR01 incrementing incorrectly,https://git.kernel.org/torvalds/c/e89d120c4b720e232cc6a94f0fcbd59c15d41489,https://git.kernel.org/torvalds/c/e89d120c4b720e232cc6a94f0fcbd59c15d41489.patch,ok
ARM64_ERRATUM_2645198,arch/arm64/Kconfig,1071,44ecda71fd8a70185c270f5914ac563827fe1d4c,arm64: errata: Workaround possible Cortex-A715 [ESR|FAR]_ELx corruption,https://git.kernel.org/torvalds/c/44ecda71fd8a70185c270f5914ac563827fe1d4c,https://git.kernel.org/torvalds/c/44ecda71fd8a70185c270f5914ac563827fe1d4c.patch,ok
